分類,職務名稱,月薪中位數 (萬元),職缺數
金融專業相關人員,金融承銷員,5.2,155
金融專業相關人員,金融業務員,5.1,1561
金融專業相關人員,金融研究員,6.5,899
金融專業相關人員,銀行辦事員,4.7,1874
金融專業相關人員,風險管理人員,6.7,304
門市營業類人員,儲備／幹部人員,3.6,12260
門市營業類人員,店長／賣場管理人員,4.4,16099
門市營業類人員,營化人員,4.4,263
門市營業類人員,連鎖店管理人員,5.1,7295
門市營業類人員,門市／店員／專櫃人員,4.0,59248
飯店／旅館／餐廳管理人員,中央廚房主管,5.4,284
飯店／旅館／餐廳管理人員,中央廚房管理人員,4.6,285
飯店／旅館／餐廳管理人員,其他飯店餐廳管理人員,4.7,317
飯店／旅館／餐廳管理人員,餐廳／飯店主管,5.1,2160
飯店／旅館／餐廳管理人員,餐飲主任／領班,4.3,739
餐飲服務人員,中餐廚師,4.3,3627
餐飲服務人員,內場廚務人員,3.3,13055
餐飲服務人員,其他餐飲服務人員,3.5,1093
餐飲服務人員,外場服務人員,3.2,22808
餐飲服務人員,外送人員,3.4,2967
餐飲服務人員,廚師,4.2,7684
餐飲服務人員,日式料理廚師,4.1,1082
餐飲服務人員,洗碗清潔人員,3.2,1233
餐飲服務人員,西餐廚師,4.2,1523
餐飲服務人員,西點烘焙師傅,4.1,1313
餐飲服務人員,飲料調製人員,3.3,7785
體育／美容美髮／餐旅服務人員,健身教練,3.7,630
體育／美容美髮／餐旅服務人員,其他服務人員,3.4,163
體育／美容美髮／餐旅服務人員,廚務助理,3.3,1855
體育／美容美髮／餐旅服務人員,洗碗人員,3.2,1030
體育／美容美髮／餐旅服務人員,美容師,3.4,1492
體育／美容美髮／餐旅服務人員,美甲師,3.4,788
體育／美容美髮／餐旅服務人員,美髮師,3.5,1244
體育／美容美髮／餐旅服務人員,芳療／紓壓師,3.4,1006
