職業類別,產業,1年以下,1~3年,3~5年,5~7年,7年以上,主職業類別,細職業名稱
電子工程師,電子科技╱資訊╱軟體╱半導體,43000,47300,51600,55900,60200,光電IC_電子通訊,電子工程師
電子工程師,一般傳統製造,44000,48400,52800,57200,61600,光電IC_電子通訊,電子工程師
電子工程師,法律╱會計╱顧問╱研發╱設計,42000,46200,50400,54600,58800,光電IC_電子通訊,電子工程師
電子／通訊工程助理,電子科技╱資訊╱軟體╱半導體,30700,33800,36900,40000,43000,光電IC_電子通訊,電子／通訊工程助理
電子／通訊工程助理,一般傳統製造,30000,33000,36000,39000,42000,光電IC_電子通訊,電子／通訊工程助理
電子／通訊工程助理,政治╱宗教╱社福,33200,36500,39800,43100,46400,光電IC_電子通訊,電子／通訊工程助理
電子／通訊工程助理,法律╱會計╱顧問╱研發╱設計,26000,28600,31200,33800,36400,光電IC_電子通訊,電子／通訊工程助理
電子／通訊工程助理,運輸物流╱倉儲╱貿易,28000,30800,33600,36400,39200,光電IC_電子通訊,電子／通訊工程助理
電子／通訊工程助理,一般服務業,39500,43500,47400,51400,55300,光電IC_電子通訊,電子／通訊工程助理
電子／通訊工程助理,批發╱零售,27500,30300,33000,35800,38500,光電IC_電子通訊,電子／通訊工程助理
電源工程師,批發╱零售,40000,44000,48000,52000,56000,光電IC_電子通訊,電源工程師
電源工程師,電子科技╱資訊╱軟體╱半導體,49000,53900,58800,63700,68600,光電IC_電子通訊,電源工程師
電源工程師,一般傳統製造,39300,43200,47100,51100,55000,光電IC_電子通訊,電源工程師
類比IC設計工程師,電子科技╱資訊╱軟體╱半導體,60500,66500,72600,78600,84700,光電IC_電子通訊,類比IC設計工程師
人類學研究人員,政治╱宗教╱社福,31500,34700,37800,41000,44100,學術研究_教育師資,人類學研究人員
人類學研究人員,教育╱出版╱藝文相關,36100,39700,43300,46900,50500,學術研究_教育師資,人類學研究人員
其他研究人員,電子科技╱資訊╱軟體╱半導體,50000,55000,60000,65000,70000,學術研究_教育師資,其他研究人員
其他研究人員,一般傳統製造,45000,49500,54000,58500,63000,學術研究_教育師資,其他研究人員
其他研究人員,礦業╱土石能源採取,70000,77000,84000,91000,98000,學術研究_教育師資,其他研究人員
其他研究人員,政治╱宗教╱社福,40500,44500,48600,52600,56700,學術研究_教育師資,其他研究人員
其他研究人員,法律╱會計╱顧問╱研發╱設計,43000,47300,51600,55900,60200,學術研究_教育師資,其他研究人員
其他研究人員,運輸物流╱倉儲╱貿易,25000,27500,30000,32500,35000,學術研究_教育師資,其他研究人員
其他研究人員,建築營造╱不動產相關,36000,39600,43200,46800,50400,學術研究_教育師資,其他研究人員
